datetime,portfolio_value,cash,positions,return
2023-04-09 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-10 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-11 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-12 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-13 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-14 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-15 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-16 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-17 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-18 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-19 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-20 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-21 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-22 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-23 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-24 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-25 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-26 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-27 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-28 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-29 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-30 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-01 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-02 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-03 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-04 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-05 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-06 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-07 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-08 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-09 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-10 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-11 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-12 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-13 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-14 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-15 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-05-16 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
